
      1      2      3      4      5
      6      7      8      9      0
      1      2      3      4      5
      6      7      8      9      0
      1      2      3      4      5


      6      7      8      9      0
      1      2      3      4      5
      6      7      8      9      0
      1      2      3      4      5
      6      7      8      9      0


      7      9     11     13      5
      7      9     11     13      5
      7      9     11     13      5
      7      9     11     13      5
      7      9     11     13      5


      1      6      1      6      1
      2      7      2      7      2
      3      8      3      8      3
      4      9      4      9      4
      5      0      5      0      5


      5     10     15     20     25
     30     35     40     45      0
      5     10     15     20     25
     30     35     40     45      0
      5     10     15     20     25


     60     75     90    105     30
    100    130    160    190     80
     60     75     90    105     30
    100    130    160    190     80
     60     75     90    105     30

